Category,Item ID,Item Name,Description,Ingredients,Allergens,Price 10in,Price 13in,Price 16in,Badge,Image File,Modifiers,Upsell
Featured Pizzas,truffle-shuffle,The 46 Truffle Shuffle,"Wild mushrooms truffle cream fontina & taleggio post-bake arugula lemon zest. Earthy luxe oak-kissed.",Mushroom mix / Truffle cream / Fontina / Taleggio / Arugula,Gluten Dairy,19.95,26.95,32.95,Chef's,pizza-truffle-shuffle.jpg,"Size / Crust / Sauce / Cheese / Toppings / Cut&Bake / Add Dip",Add Dip +$1.50
Featured Pizzas,cup-char-46,Cup & Char 46,"Double cup-and-char beef pepperoni hot honey drizzle oregano. Crispy sweet-heat.",Beef pepperoni / Mozzarella / Hot honey,Gluten Dairy,16.95,22.95,27.95,Popular,pizza-cup-char-46.jpg,Size/Crust/Sauce/Cheese/Toppings/CutBake/AddDip,Make it Combo +$8.95
Featured Pizzas,margherita,Vineyard Margherita,"San Marzano tomato fior di latte fresh basil EVOO blistered cornicione. Simple perfect.",Tomato / Fior di latte / Basil / EVOO,Gluten Dairy Veg,14.95,19.95,23.95,Veg,pizza-margherita.jpg,Size/Crust/Sauce/Cheese/Toppings/CutBake/AddDip,Add Dip
Featured Pizzas,quattro-formaggi,Quattro Formaggi Oak,"Garlic cream base mozzarella gorgonzola taleggio aged parmesan. Four-cheese hug.",4 cheeses / Garlic cream,Gluten Dairy Veg,17.95,23.95,28.95,Veg,pizza-quattro-formaggi-box.jpg,Size/Crust/Sauce/Cheese/Toppings/CutBake/AddDip,Add Dip
Featured Pizzas,bbq-chicken,Bourbon BBQ Chicken,"Grilled chicken bourbon-smoked BBQ smoked gouda red onion cilantro. Sweet smoke.",Chicken / BBQ / Gouda / Onion,Gluten Dairy,17.95,23.95,28.95,,pizza-bourbon-bbq.jpg,Size/Crust/Sauce/Cheese/Toppings/CutBake/AddDip,Make it Combo
Featured Pizzas,valley-veggie,Valley Veggie Fire,"Charred zucchini roasted peppers mushroom caramelized onion post-bake arugula. Garden fire.",5 veg / Mozzarella,Gluten Dairy Veg,15.95,21.95,26.95,Veg,pizza-valley-veggie.jpg,Size/Crust/Sauce/Cheese/Toppings/CutBake/AddDip,Add Dip
Featured Pizzas,meat-supreme,Meat Supreme 46,"Pepperoni fennel sausage smoked bacon ground beef red onion. Carnivore oak pile.",4 meats / Mozzarella,Gluten Dairy,18.95,25.95,31.95,,pizza-meat-supreme-46.jpg,Size/Crust/Sauce/Cheese/Toppings/CutBake/AddDip,Family Bundle
Featured Pizzas,calabrian-heat,Calabrian Heat,"Soppressata Calabrian chili fresh mozzarella hot honey basil. Slow burn.",Soppressata / Chili / Honey,Gluten Dairy Spicy,17.95,23.95,28.95,Spicy,pizza-calabrian-heat.jpg,Size/Crust/Sauce/Cheese/Toppings/CutBake/AddDip,Add Dip Hot Honey
Build Your Own,bYO-cheese,BYO Cheese Base,"Start with cheese & San Marzano then customize. Classic oak crust.",Mozzarella / Tomato,Gluten Dairy,12.95,16.95,20.95,,,"Crust Sauce Cheese Toppings Cut Bake Add Dip",BYO
Sides,mozzarella-sticks,Mozzarella Sticks (6),"Panko-crisp house marinara.",Mozzarella / Panko / Marinara,Gluten Dairy Veg,9.95,,,Veg,mozzarella-sticks.jpg,,Add Dip
